country,year,quantity
Afghanistan,2005,0
Albania,2005,1.4
Algeria,2005,3.2
American Samoa,2005,0
Andorra,2005,7.1
Angola,2005,1.2
Antigua and Barbuda,2005,5
Argentina,2005,4.2
Armenia,2005,1.4
Aruba,2005,22.7
Australia,2005,17.8
Austria,2005,9
Azerbaijan,2005,4.1
The Bahamas,2005,4.9
Bahrain,2005,21.8
Bangladesh,2005,0.3
Barbados,2005,4.9
Belarus,2005,6.1
Belgium,2005,10.4
Belize,2005,1.5
Benin,2005,0.3
Bermuda,2005,6.9
Bhutan,2005,0.6
Bolivia,2005,1.3
Bosnia and Herzegovina,2005,6.6
Botswana,2005,2.5
Brazil,2005,1.9
Brunei Darussalam,2005,13.9
Bulgaria,2005,6.2
Burkina Faso,2005,0.1
Burundi,2005,0
Cabo Verde,2005,0.6
Cambodia,2005,0.2
Cameroon,2005,0.2
Canada,2005,17.4
Cayman Islands,2005,10.6
Central African Republic,2005,0.1
Chad,2005,0
Chile,2005,3.8
China,2005,4.4
Colombia,2005,1.4
Comoros,2005,0.2
Republic Dominican Congo,2005,0
Congo,2005,0.4
Costa Rica,2005,1.6
Cote d'Ivoire,2005,0.4
Croatia,2005,5.2
Cuba,2005,2.3
Curacao,2005,0
Cyprus,2005,7.3
Czech Republic,2005,11.8
Denmark,2005,8.7
Djibouti,2005,0.6
Dominica,2005,1.6
Dominican Republic,2005,2.1
Ecuador,2005,2.2
Egypt,2005,2.3
El Salvador,2005,1.1
Equatorial Guinea,2005,7.8
Eritrea,2005,0.2
Estonia,2005,12.4
Ethiopia,2005,0.1
Faeroe Islands,2005,15.6
Fiji,2005,1.7
Finland,2005,10.4
France,2005,6.2
French Polynesia,2005,3.3
Gabon,2005,1.5
Gambia,2005,0.2
Georgia,2005,1.2
Germany,2005,9.8
Ghana,2005,0.3
Greece,2005,8.9
Greenland,2005,10.7
Grenada,2005,2.1
Guam,2005,0
Guatemala,2005,1
Guinea,2005,0.1
Guinea-Bissau,2005,0.1
Guyana,2005,1.9
Haiti,2005,0.2
Honduras,2005,1.1
China Hong Kong SAR,2005,6
Hungary,2005,5.7
